CVEGEO,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,,4.0,4.0,1.0,3.0,6.0,,1.0,,2.0,2.0,6.0,3.0,6.0,4.0,7.0,4.0,9.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,3.0,3.0,10.0,4.0,2.0,1.0,7.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,1.0,,1.0,1.0,7.0,7.0,6.0,3.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,7.0,10.0,20.0,16.0,14.0,6.0,15.0,13.0,14.0,12.0,11.0,9.0,20.0,14.0,20.0,13.0,8.0,6.0,12.0,16.0,15.0,3.0,2.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,,1.0,2.0,4.0,5.0,4.0,5.0,8.0,10.0,6.0,8.0,5.0,13.0,6.0,12.0,8.0,8.0,15.0,3.0,14.0,7.0,8.0,13.0,18.0,23.0,16.0,16.0,20.0,29.0,26.0,16.0,20.0,15.0,14.0,15.0,11.0,4.0,2.0,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,2.0,2.0,3.0,1.0,,5.0,3.0,2.0,3.0,4.0,2.0,5.0,7.0,4.0,,1.0,4.0,1.0,4.0,8.0,1.0,4.0,4.0,8.0,8.0,6.0,11.0,5.0,7.0,14.0,9.0,17.0,15.0,30.0,18.0,16.0,20.0,21.0,18.0,26.0,23.0,21.0,16.0,18.0,8.0,9.0,3.0,4.0,1.0,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,1.0,3.0,3.0,4.0,6.0,8.0,8.0,8.0,2.0,6.0,12.0,8.0,,8.0,10.0,6.0,6.0,4.0,4.0,1.0,8.0,2.0,4.0,8.0,5.0,3.0,8.0,8.0,3.0,3.0,6.0,10.0,8.0,6.0,6.0,4.0,8.0,9.0,13.0,7.0,15.0,12.0,8.0,10.0,19.0,20.0,17.0,22.0,20.0,14.0,16.0,18.0,16.0,16.0,19.0,9.0,9.0,3.0,2.0,,1.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,3.0,1.0,1.0,,5.0,3.0,11.0,2.0,5.0,8.0,11.0,10.0,13.0,19.0,11.0,12.0,9.0,20.0,19.0,21.0,27.0,27.0,35.0,39.0,48.0,30.0,33.0,58.0,47.0,67.0,50.0,58.0,66.0,58.0,104.0,69.0,106.0,94.0,152.0,110.0,135.0,179.0,153.0,206.0,185.0,221.0,207.0,214.0,288.0,218.0,202.0,197.0,216.0,221.0,191.0,175.0,120.0,88.0,66.0,55.0,29.0,24.0,16.0,2.0,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,8.0,1.0,2.0,4.0,,1.0,,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,10.0,3.0,3.0,3.0,6.0,5.0,15.0,8.0,7.0,13.0,7.0,11.0,19.0,9.0,13.0,17.0,21.0,16.0,12.0,36.0,16.0,21.0,20.0,23.0,21.0,26.0,17.0,11.0,8.0,11.0,6.0,8.0,7.0,3.0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,2.0,2.0,3.0,1.0,4.0,3.0,9.0,4.0,4.0,6.0,7.0,2.0,3.0,7.0,2.0,14.0,6.0,8.0,16.0,8.0,15.0,14.0,19.0,37.0,22.0,39.0,19.0,38.0,32.0,60.0,46.0,31.0,34.0,36.0,37.0,21.0,18.0,2.0,6.0,2.0,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,2.0,,,,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0,3.0,2.0,4.0,2.0,5.0,6.0,12.0,8.0,9.0,7.0,8.0,15.0,15.0,12.0,9.0,2.0,1.0,1.0,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,9.0,2.0,5.0,2.0,6.0,8.0,7.0,3.0,8.0,6.0,5.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,7.0,5.0,10.0,7.0,2.0,7.0,10.0,13.0,11.0,13.0,24.0,15.0,10.0,12.0,10.0,6.0,8.0,8.0,8.0,9.0,12.0,6.0,15.0,12.0,14.0,21.0,20.0,31.0,13.0,15.0,13.0,27.0,15.0,7.0,7.0,46.0,
