CVEGEO,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,,4.0,4.0,1.0,3.0,6.0,,1.0,,2.0,2.0,5.0,3.0,6.0,4.0,7.0,4.0,10.0,3.0,5.0,1.0,2.0,10.0,6.0,5.0,6.0,6.0,5.0,8.0,6.0,4.0,1.0,,1.0,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,3.0,3.0,10.0,4.0,2.0,1.0,7.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,1.0,,1.0,1.0,7.0,7.0,6.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,7.0,10.0,20.0,16.0,14.0,6.0,15.0,13.0,15.0,13.0,13.0,10.0,21.0,14.0,21.0,17.0,9.0,8.0,20.0,32.0,37.0,27.0,28.0,27.0,25.0,29.0,26.0,25.0,10.0,11.0,4.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,,1.0,2.0,4.0,5.0,4.0,5.0,8.0,10.0,6.0,8.0,5.0,13.0,6.0,12.0,9.0,8.0,15.0,3.0,14.0,7.0,8.0,13.0,17.0,23.0,17.0,17.0,21.0,33.0,31.0,19.0,23.0,26.0,36.0,32.0,45.0,30.0,39.0,35.0,29.0,21.0,16.0,19.0,9.0,7.0,1.0,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,2.0,2.0,3.0,1.0,,6.0,3.0,2.0,3.0,4.0,2.0,5.0,7.0,4.0,,1.0,4.0,1.0,4.0,8.0,1.0,4.0,5.0,8.0,9.0,6.0,11.0,5.0,7.0,14.0,10.0,17.0,15.0,32.0,19.0,15.0,20.0,25.0,20.0,29.0,32.0,27.0,20.0,30.0,32.0,25.0,34.0,42.0,28.0,34.0,15.0,29.0,14.0,18.0,17.0,5.0,2.0,1.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,1.0,3.0,3.0,4.0,6.0,8.0,8.0,8.0,2.0,6.0,12.0,8.0,,8.0,10.0,6.0,6.0,4.0,4.0,1.0,8.0,2.0,4.0,8.0,5.0,3.0,8.0,8.0,4.0,3.0,6.0,10.0,8.0,6.0,6.0,4.0,7.0,10.0,13.0,7.0,15.0,13.0,8.0,11.0,20.0,20.0,17.0,23.0,20.0,17.0,19.0,21.0,17.0,19.0,30.0,20.0,30.0,25.0,40.0,32.0,18.0,22.0,14.0,22.0,19.0,9.0,2.0,1.0,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,3.0,1.0,1.0,,5.0,3.0,11.0,2.0,5.0,8.0,10.0,10.0,13.0,18.0,11.0,12.0,10.0,21.0,20.0,22.0,28.0,28.0,36.0,40.0,52.0,30.0,35.0,61.0,49.0,78.0,57.0,69.0,71.0,61.0,107.0,73.0,110.0,101.0,162.0,121.0,144.0,187.0,162.0,215.0,193.0,236.0,238.0,232.0,317.0,243.0,229.0,225.0,264.0,279.0,262.0,258.0,263.0,199.0,241.0,318.0,171.0,158.0,195.0,171.0,159.0,127.0,105.0,78.0,70.0,43.0,17.0,9.0,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,8.0,1.0,2.0,4.0,,1.0,,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,10.0,3.0,3.0,3.0,6.0,5.0,14.0,8.0,7.0,14.0,7.0,11.0,19.0,9.0,13.0,17.0,21.0,16.0,13.0,38.0,16.0,21.0,23.0,26.0,24.0,35.0,23.0,20.0,15.0,25.0,34.0,24.0,41.0,30.0,29.0,23.0,20.0,14.0,12.0,14.0,15.0,5.0,1.0,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,9.0,4.0,4.0,6.0,7.0,2.0,3.0,7.0,2.0,14.0,6.0,8.0,17.0,8.0,16.0,14.0,20.0,36.0,21.0,39.0,20.0,39.0,30.0,58.0,47.0,34.0,40.0,43.0,53.0,45.0,51.0,30.0,36.0,38.0,42.0,28.0,26.0,44.0,23.0,11.0,7.0,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,2.0,,,,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0,4.0,2.0,4.0,1.0,5.0,7.0,12.0,7.0,9.0,8.0,8.0,16.0,17.0,20.0,18.0,13.0,18.0,5.0,13.0,6.0,14.0,10.0,7.0,3.0,2.0,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,9.0,2.0,5.0,2.0,6.0,8.0,7.0,3.0,8.0,6.0,5.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,7.0,5.0,10.0,8.0,2.0,7.0,10.0,13.0,11.0,13.0,24.0,13.0,8.0,11.0,10.0,6.0,8.0,8.0,7.0,9.0,11.0,8.0,15.0,12.0,15.0,21.0,22.0,32.0,16.0,14.0,22.0,36.0,20.0,15.0,25.0,75.0,16.0,20.0,36.0,19.0,14.0,9.0,1.0,15.0,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,,,5.0,3.0,3.0,5.0,,2.0,6.0,7.0,,4.0,1.0,11.0,11.0,4.0,4.0,6.0,6.0,9.0,7.0,8.0,8.0,8.0,4.0,7.0,6.0,12.0,12.0,19.0,12.0,12.0,16.0,11.0,18.0,15.0,20.0,8.0,10.0,14.0,11.0,7.0,2.0,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,11.0,4.0,6.0,2.0,10.0,9.0,9.0,15.0,7.0,4.0,6.0,14.0,25.0,25.0,19.0,9.0,16.0,23.0,17.0,12.0,12.0,19.0,6.0,9.0,13.0,19.0,19.0,18.0,29.0,20.0,22.0,22.0,31.0,38.0,29.0,40.0,41.0,22.0,32.0,52.0,36.0,37.0,46.0,29.0,42.0,32.0,38.0,33.0,28.0,44.0,32.0,38.0,33.0,30.0,24.0,18.0,19.0,7.0,10.0,1.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,,3.0,2.0,2.0,3.0,,3.0,3.0,2.0,,1.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,7.0,6.0,2.0,4.0,6.0,2.0,6.0,7.0,4.0,5.0,3.0,9.0,3.0,1.0,7.0,10.0,8.0,5.0,6.0,8.0,12.0,7.0,8.0,7.0,25.0,13.0,26.0,28.0,16.0,18.0,12.0,9.0,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,3.0,1.0,3.0,4.0,6.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0,6.0,13.0,6.0,21.0,16.0,18.0,17.0,13.0,19.0,15.0,19.0,14.0,27.0,29.0,15.0,20.0,26.0,32.0,31.0,29.0,28.0,30.0,28.0,41.0,35.0,42.0,25.0,51.0,28.0,26.0,26.0,21.0,39.0,34.0,28.0,27.0,27.0,16.0,29.0,32.0,24.0,30.0,16.0,24.0,17.0,32.0,20.0,14.0,4.0,4.0,1.0,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,,5.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,,2.0,,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,,10.0,8.0,2.0,2.0,6.0,15.0,11.0,21.0,19.0,9.0,16.0,21.0,13.0,19.0,30.0,24.0,17.0,24.0,18.0,14.0,9.0,9.0,1.0,2.0,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,2.0,3.0,2.0,1.0,4.0,6.0,6.0,6.0,16.0,13.0,9.0,11.0,13.0,10.0,15.0,16.0,24.0,18.0,21.0,27.0,25.0,22.0,29.0,29.0,39.0,37.0,47.0,39.0,42.0,45.0,34.0,35.0,45.0,51.0,49.0,56.0,87.0,39.0,45.0,52.0,67.0,66.0,41.0,49.0,34.0,47.0,60.0,88.0,36.0,56.0,41.0,42.0,20.0,36.0,19.0,19.0,6.0,7.0,5.0,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,2.0,4.0,1.0,2.0,2.0,,2.0,2.0,3.0,2.0,4.0,5.0,5.0,,1.0,4.0,12.0,2.0,5.0,9.0,5.0,18.0,6.0,10.0,11.0,12.0,7.0,6.0,8.0,10.0,3.0,14.0,15.0,16.0,12.0,22.0,12.0,19.0,22.0,23.0,23.0,21.0,24.0,23.0,25.0,39.0,45.0,36.0,29.0,43.0,29.0,30.0,31.0,13.0,11.0,6.0,4.0,2.0,,
27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,2.0,2.0,1.0,3.0,2.0,5.0,8.0,5.0,5.0,4.0,7.0,7.0,11.0,6.0,7.0,16.0,13.0,12.0,10.0,12.0,18.0,13.0,24.0,17.0,31.0,32.0,32.0,38.0,47.0,26.0,40.0,48.0,66.0,47.0,55.0,55.0,63.0,72.0,72.0,55.0,49.0,55.0,69.0,53.0,42.0,50.0,59.0,51.0,81.0,74.0,70.0,65.0,89.0,69.0,66.0,80.0,61.0,27.0,35.0,21.0,9.0,7.0,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,3.0,2.0,2.0,1.0,1.0,6.0,4.0,3.0,2.0,1.0,11.0,6.0,9.0,5.0,4.0,9.0,5.0,4.0,10.0,7.0,8.0,12.0,16.0,12.0,30.0,23.0,18.0,25.0,30.0,23.0,11.0,33.0,27.0,24.0,30.0,26.0,44.0,33.0,41.0,32.0,27.0,18.0,40.0,22.0,21.0,31.0,30.0,21.0,24.0,11.0,10.0,12.0,7.0,11.0,6.0,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,2.0,,1.0,9.0,2.0,4.0,3.0,5.0,5.0,4.0,8.0,1.0,2.0,6.0,9.0,2.0,12.0,1.0,2.0,7.0,12.0,9.0,10.0,8.0,9.0,9.0,21.0,18.0,8.0,10.0,16.0,11.0,17.0,20.0,7.0,15.0,22.0,18.0,14.0,17.0,23.0,16.0,29.0,25.0,19.0,12.0,9.0,8.0,2.0,3.0,1.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,3.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,1.0,5.0,,3.0,4.0,5.0,3.0,4.0,6.0,5.0,7.0,11.0,6.0,5.0,9.0,12.0,13.0,22.0,17.0,19.0,21.0,26.0,31.0,21.0,35.0,32.0,30.0,42.0,26.0,74.0,43.0,40.0,46.0,70.0,63.0,46.0,90.0,75.0,69.0,87.0,102.0,77.0,70.0,69.0,85.0,53.0,34.0,24.0,26.0,2.0,4.0,1.0,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,7.0,5.0,9.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,6.0,7.0,5.0,5.0,8.0,7.0,11.0,7.0,5.0,11.0,12.0,12.0,3.0,7.0,18.0,19.0,14.0,8.0,13.0,17.0,18.0,22.0,25.0,28.0,31.0,14.0,31.0,38.0,35.0,39.0,50.0,31.0,19.0,42.0,40.0,33.0,24.0,35.0,31.0,29.0,32.0,34.0,31.0,25.0,14.0,9.0,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,3.0,,2.0,1.0,,,,,,,,,2.0,,2.0,2.0,,,1.0,1.0,6.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,7.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,3.0,2.0,5.0,17.0,7.0,7.0,4.0,5.0,7.0,1.0,8.0,10.0,7.0,5.0,3.0,3.0,6.0,1.0,2.0,1.0,
01001,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,2.0,2.0,4.0,2.0,2.0,,5.0,7.0,5.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,,2.0,1.0,,2.0,4.0,1.0,2.0,3.0,3.0,6.0,4.0,5.0,9.0,9.0,8.0,9.0,13.0,5.0,15.0,4.0,5.0,11.0,11.0,9.0,10.0,19.0,10.0,11.0,14.0,9.0,17.0,6.0,13.0,18.0,7.0,9.0,6.0,5.0,4.0,12.0,1.0,,
01002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,5.0,,,,,,,,,,,,,,,2.0,,,,,,,
01004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,3.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,
01006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,,1.0,1.0,,,,,,,,,,,
01007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,2.0,,,2.0,3.0,,,,1.0,,3.0,,,,
01008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,
01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,
01010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
